d_cm,density_r,doserate_Gy_s,ks,r_cm,sigma_cm
0.5,0.2533088183243241,2000.0,1.1551200344193366,0.0,3.3
0.5,0.22354424756858,2000.0,1.1379782467714428,1.65,3.3
0.5,0.1536395646892799,2000.0,1.0962564893716966,3.3,3.3
0.5,0.08223733287261978,2000.0,1.0532782685458095,4.949999999999998,3.3
0.5,0.03428162067425407,2000.0,1.0221921941090777,6.6,3.3
0.5,0.2533088183243241,1.0,1.000183029536986,0.0,3.3
0.5,0.22354424756858,1.0,1.0001775829581072,1.65,3.3
0.5,0.1536395646892799,1.0,1.000155999796871,3.3,3.3
0.5,0.08223733287261978,1.0,1.0001152567052554,4.949999999999998,3.3
0.5,0.03428162067425407,1.0,1.0001179710488783,6.6,3.3
0.5,0.2533088183243241,1000.0,1.0805528815515508,0.0,3.3
0.5,0.22354424756858,1000.0,1.0716105151865407,1.65,3.3
0.5,0.1536395646892799,1000.0,1.0496469466968383,3.3,3.3
0.5,0.08223733287261978,1000.0,1.0270102107850907,4.949999999999998,3.3
0.5,0.03428162067425407,1000.0,1.0114404286005545,6.6,3.3
0.9,0.2533088183243241,30.0,1.0236518195959257,0.0,3.3
0.9,0.22354424756858,30.0,1.0216231481861429,1.65,3.3
0.9,0.1536395646892799,30.0,1.0145990766197763,3.3,3.3
0.9,0.08223733287261978,30.0,1.0082287551291829,4.949999999999998,3.3
0.9,0.03428162067425407,30.0,1.0034534895656266,6.6,3.3
0.9,0.2533088183243241,300.0,1.2141736982884526,0.0,3.3
0.9,0.22354424756858,300.0,1.1904090699368843,1.65,3.3
0.9,0.1536395646892799,300.0,1.1353910864129866,3.3,3.3
0.9,0.08223733287261978,300.0,1.0744316673304828,4.949999999999998,3.3
0.9,0.03428162067425407,300.0,1.0320248662735985,6.6,3.3
0.9,0.2533088183243241,10.0,1.0081310737507183,0.0,3.3
0.9,0.22354424756858,10.0,1.0068651202253576,1.65,3.3
0.9,0.1536395646892799,10.0,1.0050289948988622,3.3,3.3
0.9,0.08223733287261978,10.0,1.0029028374686568,4.949999999999998,3.3
0.9,0.03428162067425407,10.0,1.0012690503774335,6.6,3.3
0.9,0.2533088183243241,100.0,1.0779375357071814,0.0,3.3
0.9,0.22354424756858,100.0,1.0684375189225903,1.65,3.3
0.9,0.1536395646892799,100.0,1.0472204516474664,3.3,3.3
