E_MeV_u,LET_keV_um,a0_nm,beta,ks_Gauss,ks_Geiss,particle,scale,voltage_V,water_LET_keV_um
102.0,0.5119783065831132,8.5,0.0,1.0421757609189417,1.0273738536594332,iron,3.0,200.0,480.7209430497352
152.0,0.38604866358679457,4.5,0.0,1.0334922543696878,1.0343952236151492,iron,3.0,200.0,362.26358226102764
152.0,0.38604866358679457,5.0,0.0,1.0334922543696878,1.0319274184579905,iron,3.0,200.0,362.26358226102764
152.0,0.38604866358679457,5.5,0.0,1.0334922543696878,1.0290488177454435,iron,3.0,200.0,362.26358226102764
152.0,0.38604866358679457,6.0,0.0,1.0334922543696878,1.026754965196312,iron,3.0,200.0,362.26358226102764
152.0,0.38604866358679457,6.5,0.0,1.0334922543696878,1.0250571168901985,iron,3.0,200.0,362.26358226102764
152.0,0.38604866358679457,7.0,0.0,1.0334922543696878,1.0237715239002434,iron,3.0,200.0,362.26358226102764
152.0,0.38604866358679457,7.5,0.0,1.0334922543696878,1.0225197471768617,iron,3.0,200.0,362.26358226102764
152.0,0.38604866358679457,8.0,0.0,1.0334922543696878,1.0213818367474352,iron,3.0,200.0,362.26358226102764
152.0,0.38604866358679457,8.5,0.0,1.0334922543696878,1.0199690373663326,iron,3.0,200.0,362.26358226102764
202.0,0.31996222816231373,4.5,0.0,1.0287977379146978,1.0279303230665047,iron,3.0,200.0,300.03314580077364
202.0,0.31996222816231373,5.0,0.0,1.0287977379146978,1.0259102160803788,iron,3.0,200.0,300.03314580077364
202.0,0.31996222816231373,5.5,0.0,1.0287977379146978,1.0235585783295391,iron,3.0,200.0,300.03314580077364
202.0,0.31996222816231373,6.0,0.0,1.0287977379146978,1.0216859166531032,iron,3.0,200.0,300.03314580077364
202.0,0.31996222816231373,6.5,0.0,1.0287977379146978,1.0203001646275174,iron,3.0,200.0,300.03314580077364
202.0,0.31996222816231373,7.0,0.0,1.0287977379146978,1.0192509575035935,iron,3.0,200.0,300.03314580077364
202.0,0.31996222816231373,7.5,0.0,1.0287977379146978,1.0182303451489787,iron,3.0,200.0,300.03314580077364
202.0,0.31996222816231373,8.0,0.0,1.0287977379146978,1.017303125530735,iron,3.0,200.0,300.03314580077364
202.0,0.31996222816231373,8.5,0.0,1.0287977379146978,1.016153797233528,iron,3.0,200.0,300.03314580077364
252.0,0.2792465053382593,4.5,0.0,1.0258444675394547,1.023944583312425,iron,3.0,200.0,261.8249144343319
252.0,0.2792465053382593,5.0,0.0,1.0258444675394547,1.0222032753355736,iron,3.0,200.0,261.8249144343319
252.0,0.2792465053382593,5.5,0.0,1.0258444675394547,1.0201790276771885,iron,3.0,200.0,261.8249144343319
252.0,0.2792465053382593,6.0,0.0,1.0258444675394547,1.01856778459101,iron,3.0,200.0,261.8249144343319
252.0,0.2792465053382593,6.5,0.0,1.0258444675394547,1.017375638806675,iron,3.0,200.0,261.8249144343319
252.0,0.2792465053382593,7.0,0.0,1.0258444675394547,1.0164730274468612,iron,3.0,200.0,261.8249144343319
252.0,0.2792465053382593,7.5,0.0,1.0258444675394547,1.0155955991771328,iron,3.0,200.0,261.8249144343319
252.0,0.2792465053382593,8.0,0.0,1.0258444675394547,1.0147987810793375,iron,3.0,200.0,261.8249144343319
252.0,0.2792465053382593,8.5,0.0,1.0258444675394547,1.0138122221119699,iron,3.0,200.0,261.8249144343319
2.0,0.016424226734417617,4.5,0.0,1.0040132820960408,1.003706051913128,proton,3.0,200.0,15.769328794692221
2.0,0.016424226734417617,5.0,0.0,1.0040132820960408,1.0034779208759006,proton,3.0,200.0,15.769328794692221
2.0,0.016424226734417617,5.5,0.0,1.0040132820960408,1.003199162084181,proton,3.0,200.0,15.769328794692221
2.0,0.016424226734417617,6.0,0.0,1.0040132820960408,1.0029768777909263,proton,3.0,200.0,15.769328794692221
2.0,0.016424226734417617,6.5,0.0,1.0040132820960408,1.0028144434474577,proton,3.0,200.0,15.769328794692221
2.0,0.016424226734417617,7.0,0.0,1.0040132820960408,1.0026935644043138,proton,3.0,200.0,15.769328794692221
2.0,0.016424226734417617,7.5,0.0,1.0040132820960408,1.0025737207918344,proton,3.0,200.0,15.769328794692221
2.0,0.016424226734417617,8.0,0.0,1.0040132820960408,1.0024639868025385,proton,3.0,200.0,15.769328794692221
2.0,0.016424226734417617,8.5,0.0,1.0040132820960408,1.0023213693695618,proton,3.0,200.0,15.769328794692221
52.0,0.0012756613424792338,4.5,0.0,1.0004550445440632,1.0001709526792326,proton,3.0,200.0,1.1991645552186945
52.0,0.0012756613424792338,5.0,0.0,1.0004550445440632,1.000159459288627,proton,3.0,200.0,1.1991645552186945
52.0,0.0012756613424792338,5.5,0.0,1.0004550445440632,1.0001459561241093,proton,3.0,200.0,1.1991645552186945
52.0,0.0012756613424792338,6.0,0.0,1.0004550445440632,1.000135177136686,proton,3.0,200.0,1.1991645552186945
52.0,0.0012756613424792338,6.5,0.0,1.0004550445440632,1.0001272045543061,proton,3.0,200.0,1.1991645552186945
52.0,0.0012756613424792338,7.0,0.0,1.0004550445440632,1.0001211789326017,proton,3.0,200.0,1.1991645552186945
52.0,0.0012756613424792338,7.5,0.0,1.0004550445440632,1.000115298543932,proton,3.0,200.0,1.1991645552186945
52.0,0.0012756613424792338,8.0,0.0,1.0004550445440632,1.0001099437343253,proton,3.0,200.0,1.1991645552186945
52.0,0.0012756613424792338,8.5,0.0,1.0004550445440632,1.000103249875297,proton,3.0,200.0,1.1991645552186945
102.0,0.0007605432261228764,4.5,0.0,1.0002713204995208,1.000093274202318,proton,3.0,200.0,0.7141107167546897
102.0,0.0007605432261228764,5.0,0.0,1.0002713204995208,1.000086930852716,proton,3.0,200.0,0.7141107167546897
102.0,0.0007605432261228764,5.5,0.0,1.0002713204995208,1.000079508417048,proton,3.0,200.0,0.7141107167546897
102.0,0.0007605432261228764,6.0,0.0,1.0002713204995208,1.0000735842549766,proton,3.0,200.0,0.7141107167546897
102.0,0.0007605432261228764,6.5,0.0,1.0002713204995208,1.0000691983741823,proton,3.0,200.0,0.7141107167546897
102.0,0.0007605432261228764,7.0,0.0,1.0002713204995208,1.0000658794168353,proton,3.0,200.0,0.7141107167546897
102.0,0.0007605432261228764,7.5,0.0,1.0002713204995208,1.00006264568585,proton,3.0,200.0,0.7141107167546897
102.0,0.0007605432261228764,8.0,0.0,1.0002713204995208,1.0000597029928566,proton,3.0,200.0,0.7141107167546897
102.0,0.0007605432261228764,8.5,0.0,1.0002713204995208,1.0000560383315198,proton,3.0,200.0,0.7141107167546897
152.0,0.0005718701413646367,4.5,0.0,1.0002040191109505,1.0000667797893072,proton,3.0,200.0,0.5366363803191809
152.0,0.0005718701413646367,5.0,0.0,1.0002040191109505,1.0000622115936715,proton,3.0,200.0,0.5366363803191809
152.0,0.0005718701413646367,5.5,0.0,1.0002040191109505,1.0000568773260297,proton,3.0,200.0,0.5366363803191809
152.0,0.0005718701413646367,6.0,0.0,1.0002040191109505,1.0000526201669855,proton,3.0,200.0,0.5366363803191809
152.0,0.0005718701413646367,6.5,0.0,1.0002040191109505,1.0000494669595683,proton,3.0,200.0,0.5366363803191809
152.0,0.0005718701413646367,7.0,0.0,1.0002040191109505,1.000047079334852,proton,3.0,200.0,0.5366363803191809
152.0,0.0005718701413646367,7.5,0.0,1.0002040191109505,1.0000447549391112,proton,3.0,200.0,0.5366363803191809
152.0,0.0005718701413646367,8.0,0.0,1.0002040191109505,1.0000426404892901,proton,3.0,200.0,0.5366363803191809
152.0,0.0005718701413646367,8.5,0.0,1.0002040191109505,1.0000400123178357,proton,3.0,200.0,0.5366363803191809
202.0,0.0004735999520970177,4.5,0.0,1.0001689634421598,1.0000534801931462,proton,3.0,200.0,0.44410151582738694
202.0,0.0004735999520970177,5.0,0.0,1.0001689634421598,1.0000498077829585,proton,3.0,200.0,0.44410151582738694
202.0,0.0004735999520970177,5.5,0.0,1.0001689634421598,1.0000455252996963,proton,3.0,200.0,0.44410151582738694
202.0,0.0004735999520970177,6.0,0.0,1.0001689634421598,1.000042107739133,proton,3.0,200.0,0.44410151582738694
202.0,0.0004735999520970177,6.5,0.0,1.0001689634421598,1.000039575649797,proton,3.0,200.0,0.44410151582738694
202.0,0.0004735999520970177,7.0,0.0,1.0001689634421598,1.0000376575775138,proton,3.0,200.0,0.44410151582738694
202.0,0.0004735999520970177,7.5,0.0,1.0001689634421598,1.0000357913041935,proton,3.0,200.0,0.44410151582738694
202.0,0.0004735999520970177,8.0,0.0,1.0001689634421598,1.0000340939931798,proton,3.0,200.0,0.44410151582738694
202.0,0.0004735999520970177,8.5,0.0,1.0001689634421598,1.000031986933891,proton,3.0,200.0,0.44410151582738694
252.0,0.00041321274423029326,4.5,0.0,1.0001474210565606,1.0000454940816947,proton,3.0,200.0,0.38743345234974225
252.0,0.00041321274423029326,5.0,0.0,1.0001474210565606,1.0000423613435185,proton,3.0,200.0,0.38743345234974225
252.0,0.00041321274423029326,5.5,0.0,1.0001474210565606,1.0000387117793343,proton,3.0,200.0,0.38743345234974225
252.0,0.00041321274423029326,6.0,0.0,1.0001474210565606,1.0000357994336533,proton,3.0,200.0,0.38743345234974225
252.0,0.00041321274423029326,6.5,0.0,1.0001474210565606,1.0000336411939763,proton,3.0,200.0,0.38743345234974225
252.0,0.00041321274423029326,7.0,0.0,1.0001474210565606,1.000032005846364,proton,3.0,200.0,0.38743345234974225
252.0,0.00041321274423029326,7.5,0.0,1.0001474210565606,1.0000304152877395,proton,3.0,200.0,0.38743345234974225
252.0,0.00041321274423029326,8.0,0.0,1.0001474210565606,1.0000289689770032,proton,3.0,200.0,0.38743345234974225
