# Provided by Libamtrack ,,,,,
# Generated: 15/3/2022 @ 13:4:33,,,,,
# Stopping power,,,,,
E_MeV_u,proton_LET_keV_um,carbon_LET_keV_um,neon_LET_keV_um,argon_LET_keV_um,iron_LET_keV_um
0.161271429,71.61914621,809.4816063,1366.408016,2351.738486,3222.72382
0.164047721,71.17465102,810.4858411,1370.012739,2360.767874,3236.933031
0.166871806,70.72951903,811.4669445,1373.598099,2369.802488,3251.178518
0.169744508,70.28341646,812.4200864,1377.155893,2378.828409,3265.441478
0.172666664,69.83596283,813.3397565,1380.676715,2387.829572,3279.700112
0.175639124,69.38675828,814.2200615,1384.150453,2396.788604,3293.930778
0.178662756,68.93571253,815.0586024,1387.572881,2405.698256,3308.123695
0.181738439,68.48295149,815.8554975,1390.944037,2414.558637,3322.279191
0.184867071,68.02861002,816.6109917,1394.264173,2423.370225,3336.398099
0.188049561,67.57282859,817.325421,1397.533693,2432.133769,3350.481625
0.191286839,67.1157534,817.999218,1400.753167,2440.850298,3364.53137
0.194579846,66.65753644,818.632916,1403.923335,2449.521151,3378.54936
0.197929543,66.19833559,819.2271543,1407.045123,2458.147985,3392.538071
0.201336904,65.73830146,819.7825185,1410.119365,2466.732309,3406.499775
0.204802924,65.27750446,820.2986214,1413.14522,2475.272701,3420.432704
0.208328611,64.81597693,820.7745997,1416.121017,2483.766274,3434.333058
0.211914993,64.35374264,821.2094713,1419.044866,2492.209736,3448.196468
0.215563114,63.89081578,821.6021197,1421.91463,2500.59934,3462.017924
0.219274038,63.42719989,821.9512747,1424.727888,2508.930814,3475.791674
0.223048846,62.96288663,822.255492,1427.481895,2517.199293,3489.511131
0.226888637,62.49786848,822.5133132,1430.173865,2525.399802,3503.169535
0.23079453,62.03219088,822.7239591,1432.802168,2533.529383,3516.762911
0.234767663,61.56591144,822.8868109,1435.365442,2541.585532,3530.287898
0.238809194,61.09908136,823.0011674,1437.862167,2549.565442,3543.740709
0.2429203,60.63174459,823.0662303,1440.290638,2557.465961,3557.117063
0.247102178,60.16393683,823.0810879,1442.648938,2565.283533,3570.412102
0.251356048,59.69568648,823.044724,1444.934946,2573.014217,3583.620423
0.255683148,59.22702747,822.9561932,1447.146648,2580.654234,3596.736825
0.260084739,58.75799175,822.8145184,1449.281958,2588.199644,3609.755872
0.264562104,58.2886013,822.6185785,1451.338513,2595.645991,3622.671386
0.269116547,57.81886692,822.3670857,1453.313638,2602.988221,3635.476337
0.273749394,57.34878712,822.0585638,1455.2043,2610.220602,3648.162726
0.278461996,56.87837432,821.6917206,1457.007765,2617.337903,3660.723226
0.283255726,56.4076931,821.2660126,1458.722608,2624.337203,3673.153722
0.28813198,55.93681025,820.7809425,1460.347467,2631.215676,3685.450213
0.293092179,55.46578563,820.2359263,1461.880814,2637.970165,3697.608224
0.298137767,54.99467128,819.6302768,1463.320918,2644.597124,3709.622714
0.303270216,54.52353293,818.9635232,1464.666418,2651.093644,3721.489519
0.308491019,54.05249824,818.2361503,1465.917649,2657.459867,3733.208745
0.313801699,53.58170685,817.4488741,1467.075359,2663.696673,3744.781531
0.319203803,53.11129784,816.602458,1468.14038,2669.805093,3756.209226
0.324698904,52.64140922,815.6977059,1469.113614,2675.786289,3767.493367
0.330288603,52.17217736,814.7354547,1469.996028,2681.64153,3778.635641
0.335974529,51.70373637,813.716565,1470.78863,2687.372168,3789.63785
0.341758338,51.23621743,812.6419111,1471.492454,2692.9796,3800.501864
0.347641716,50.76974805,811.5123688,1472.10854,2698.465232,3811.229567
0.353626376,50.30443272,810.3285032,1472.637366,2703.82944,3821.821388
0.359714062,49.84030592,809.0897933,1473.077427,2709.06895,3832.27259
0.365906548,49.37737401,807.7952742,1473.426395,2714.178937,3842.57622
0.372205637,48.91562541,806.4436888,1473.681385,2719.153509,3852.723788
0.378613166,48.45502881,805.0334466,1473.838873,2723.985544,3862.705026
0.385131,47.99553114,803.5625775,1473.894608,2728.666519,3872.507639
0.391761039,47.53705547,802.0286833,1473.843513,2733.186309,3882.117012
0.398505215,47.07949929,800.428893,1473.679598,2737.533017,3891.515953
0.405365491,46.62281525,798.7612292,1473.39847,2741.697618,3900.691298
0.412343867,46.16710417,797.0262502,1473.000381,2745.679681,3909.642061
0.419442376,45.7124808,795.2248132,1472.486133,2749.479781,3918.368687
