# Provided by Libamtrack ,,,,
# Generated: 15/3/2022 @ 13:0:7,,,,
# Stopping power,,,,
E_MeV_u_x,proton_LET_keV_um,carbon_LET_keV_um,neon_LET_keV_um,iron_LET_keV_um
0.23079453,0.066173381,0.877647967,1.528454223,3.751537542
0.234767663,0.065577526,0.876505849,1.528893389,3.760320313
0.238809194,0.064981987,0.875303685,1.529239693,3.768948847
0.2429203,0.06438702,0.87404349,1.529496181,3.777429928
0.247102178,0.063792889,0.872727468,1.529666242,3.785771243
0.251356048,0.063199859,0.871357945,1.529753498,3.793981101
0.255683148,0.062608161,0.86993685,1.529760889,3.802066174
0.260084739,0.062018004,0.868465934,1.529691056,3.810032438
0.264562104,0.061429598,0.866947014,1.529546772,3.817886229
0.269116547,0.060843151,0.865381967,1.529330924,3.825634218
0.273749394,0.060258867,0.863772716,1.529046501,3.833283376
0.278461996,0.059676957,0.86212136,1.528696814,3.84084153
0.283255726,0.05909765,0.860430358,1.528285837,3.848318232
0.28813198,0.058521177,0.858702285,1.527817768,3.855723684
0.293092179,0.057947764,0.856939781,1.527296946,3.863068516
0.298137767,0.057377636,0.855145534,1.526727823,3.870363732
0.303270216,0.056810984,0.853321884,1.526114255,3.877618915
0.308491019,0.056247916,0.851469948,1.525457932,3.884838206
0.313801699,0.055688502,0.849590392,1.524759737,3.892023723
0.319203803,0.055132794,0.847683583,1.524020024,3.899176232
0.324698904,0.054580817,0.845749539,1.523238515,3.906294889
0.330288603,0.05403257,0.843787878,1.522414204,3.913376951
0.335974529,0.053488021,0.841797752,1.521545236,3.920417455
0.341758338,0.052947106,0.839777788,1.52062878,3.927408869
0.347641716,0.052409723,0.83772601,1.519660896,3.934340697
0.353626376,0.051875809,0.835641002,1.518638625,3.941204884
0.359714062,0.051345524,0.833524969,1.517565574,3.948010365
0.365906548,0.050819072,0.831380913,1.516446828,3.95477001
0.372205637,0.050296649,0.829211828,1.515287492,3.96149685
0.378613166,0.049778442,0.827020675,1.514092644,3.968203969
0.385131,0.049264627,0.824810354,1.512867282,3.974904363
0.391761039,0.04875537,0.82258367,1.51161627,3.981610793
0.398505215,0.048250822,0.820343299,1.510344259,3.988335582
0.405365491,0.047751077,0.818091066,1.509054371,3.995087123
0.412343867,0.047256128,0.815827101,1.507746614,4.001865618
0.419442376,0.046765928,0.813550814,1.506419659,4.008667716
0.426663087,0.046280388,0.811260969,1.505070965,4.015486781
0.434008101,0.045799384,0.808955592,1.5036966,4.022312384
0.441479561,0.045322744,0.80663188,1.502291052,4.029129742
0.449079642,0.044850252,0.804286149,1.500847121,4.035919367
0.456810558,0.044381813,0.801916773,1.499361394,4.042671763
0.464674562,0.043917556,0.799526243,1.497838142,4.049398095
0.472673946,0.043457622,0.797117297,1.496282127,4.056110974
0.480811038,0.043002136,0.794692512,1.494697848,4.062822411
0.489088212,0.042551207,0.792254263,1.493089453,4.069543595
0.497507876,0.042104927,0.789804674,1.491460646,4.076284604
0.506072486,0.041663266,0.787343634,1.489810933,4.083044116
0.514784535,0.041225903,0.784865543,1.488129403,4.08979216
0.523646563,0.040792416,0.782362691,1.486401043,4.096487115
0.532661151,0.040362312,0.779825757,1.484607653,4.103078068
0.541830925,0.039935019,0.777243644,1.482727487,4.10950369
0.551158556,0.039509921,0.77460409,1.480736394,4.115695248
0.560646764,0.03908698,0.77190594,1.478631294,4.121641941
0.570298311,0.038666685,0.769158464,1.476429083,4.12738866
0.580116009,0.038249567,0.766372157,1.474149157,4.132987799
0.59010272,0.037836194,0.763558525,1.471813015,4.138498265
0.600261351,0.037427144,0.760729647,1.469443442,4.14398326
0.610594864,0.037022407,0.757885953,1.46704086,4.149443465
0.621106269,0.036621285,0.755013689,1.464578185,4.154801533
0.631798628,0.036222949,0.752095996,1.462022057,4.159961316
0.642675056,0.035826458,0.749113224,1.459333396,4.16480917
0.653738722,0.03543093,0.74604648,1.45647426,4.169233309
0.664992849,0.035036763,0.742903426,1.45345833,4.173268784
0.676440716,0.034645019,0.739706252,1.450327885,4.17703341
0.688085658,0.03425686,0.736479896,1.447130969,4.180663074
0.699931069,0.033873523,0.733251652,1.443920678,4.184309965
0.711980398,0.03349561,0.730035748,1.440724783,4.188054536
0.724237157,0.033122907,0.726828853,1.437536569,4.19187767
0.736704916,0.032755099,0.723625349,1.434344728,4.195746577
0.749387309,0.032391805,0.720418,1.431134642,4.19961832
0.762288028,0.032032443,0.717194847,1.427882154,4.203421333
0.775410834,0.031676171,0.713937737,1.424550534,4.207045989
0.78875955,0.03132202,0.710625235,1.42109616,4.210360812
0.802338063,0.030969003,0.707234875,1.417472957,4.213225317
0.816150332,0.030617387,0.703772503,1.413691302,4.215665505
0.830200378,0.030268454,0.700267587,1.409809221,4.217850244
0.844492297,0.029923624,0.696753636,1.405893419,4.219976644
0.859030251,0.029583989,0.693257339,1.401997405,4.222204665
0.873818477,0.029249253,0.689773347,1.398110238,4.224501644
0.888861282,0.028918765,0.686287705,1.39420339,4.226781153
0.904163049,0.028591802,0.682784448,1.390243988,4.228942377
0.919728237,0.028267794,0.679250787,1.386205334,4.230901976
0.93556138,0.027946224,0.675674982,1.382062635,4.232581294
0.95166709,0.027626537,0.672044064,1.377788351,4.233892146
0.968050061,0.027308699,0.668357503,1.373380247,4.234823143
0.984715065,0.026993174,0.664627045,1.368861358,4.235440903
1.001666958,0.02668046,0.660865615,1.364257356,4.235821141
1.018910678,0.026370841,0.657081049,1.359583631,4.236008559
1.036451248,0.026064385,0.65327608,1.354845132,4.236015834
1.05429378,0.025761145,0.649453004,1.350045945,4.235853094
1.072443472,0.025461155,0.645613792,1.345189521,4.235528596
1.090905611,0.025164435,0.641760039,1.340278556,4.235048321
1.109685576,0.024870985,0.637892903,1.335314866,4.234415519
1.128788839,0.024580786,0.634013048,1.33029924,4.23363022
1.148220965,0.024293796,0.630120571,1.325231292,4.232688678
1.167987615,0.024009948,0.626214932,1.320109289,4.231582772
1.188094549,0.023729149,0.622294877,1.314929974,4.230299344
1.208547624,0.023451279,0.61835835,1.309688366,4.228819469
1.229352799,0.023176181,0.614402404,1.304377552,4.227117662
1.250516136,0.022903675,0.610423262,1.298988782,4.22516209
1.2720438,0.022633688,0.606420052,1.293519432,4.222940435
1.293942063,0.022366284,0.60239549,1.287974526,4.220465235
1.316217305,0.022101522,0.598352272,1.282359094,4.217749238
1.338876016,0.021839451,0.594292852,1.276677704,4.214803841
1.361924798,0.021580109,0.590219403,1.270934362,4.211638746
1.385370365,0.021323518,0.586133768,1.265132407,4.208261572
1.409219547,0.021069687,0.58203741,1.259274396,4.204677433
1.433479294,0.020818609,0.57793136,1.253361974,4.200888465
1.458156673,0.020570258,0.57381616,1.247395741,4.196893312
1.483258874,0.020324588,0.569691794,1.241375103,4.192686557
1.50879321,0.020081543,0.565557917,1.235298736,4.188260222
1.534767119,0.019841118,0.561415683,1.229168599,4.183617376
1.561188171,0.019603328,0.55726677,1.222987822,4.178765137
1.588064061,0.019368174,0.553112458,1.216758698,4.173707854
1.61540262,0.019135637,0.548953571,1.21048254,4.168446575
1.643211813,0.018905685,0.544790419,1.204159547,4.162978503
